QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|GROUP_BY_COLUMN_COUNT|AGGREGATE_COLUMN_COUNT|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|GROUP_BY_KEY_PARTITIONING_NS|AGGREGATING_NS|GROUP_BY_COLUMNS_WRITING_NS|AGGREGATE_COLUMNS_WRITING_NS|OUTPUT_WRITING_NS|RUNTIME_NS|DESCRIPTION
be3dfb85ac94ddfb|0x7fb879310a90fe04da6b093afd0f|0x7fb86f38c250cdf239cf04ab597c|NULL|REFERENCE|customer|1|2|c_phone|16|6370|1|7|129797|203736|39|17965|3579|360970|"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
be3dfb85ac94ddfb|0x7fb879310a90fe04da6b093afd0f|0x7fb86f38c250cdf239cf04ab597c|NULL|REFERENCE|customer|1|2|COUNT(*)|16|6370|1|7|129797|203736|39|17965|3579|360970|"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
be3dfb85ac94ddfb|0x7fb879310a90fe04da6b093afd0f|0x7fb86f38c250cdf239cf04ab597c|NULL|REFERENCE|customer|1|2|c_acctbal|16|6370|1|7|129797|203736|39|17965|3579|360970|"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
a515c8ac5ddb71e8|0x7fb86340ad103f5f6fea1fd42cb7|0x7fb87b099d50bdafdb6869e18dc7|NULL|REFERENCE|lineitem|0|2|l_extendedprice|4|69561|1|1|78|515934|38|10799|2460|532873|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
a515c8ac5ddb71e8|0x7fb86340ad103f5f6fea1fd42cb7|0x7fb87b099d50bdafdb6869e18dc7|NULL|REFERENCE|lineitem|0|2|l_discount|4|69561|1|1|78|515934|38|10799|2460|532873|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
a515c8ac5ddb71e8|0x7fb86340ad103f5f6fea1fd42cb7|0x7fb87b099d50bdafdb6869e18dc7|NULL|REFERENCE|part|0|2|p_type|4|69561|1|1|78|515934|38|10799|2460|532873|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
a515c8ac5ddb71e8|0x7fb86340ad103f5f6fea1fd42cb7|0x7fb87b099d50bdafdb6869e18dc7|NULL|REFERENCE|lineitem|0|2|l_extendedprice|4|69561|1|1|78|515934|38|10799|2460|532873|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
a515c8ac5ddb71e8|0x7fb86340ad103f5f6fea1fd42cb7|0x7fb87b099d50bdafdb6869e18dc7|NULL|REFERENCE|lineitem|0|2|l_discount|4|69561|1|1|78|515934|38|10799|2460|532873|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
ddebca1029c9858e|0x7fb8630926105f8180bc60f862fd|0x7fb87b097290acd42a34d5fa9e23|NULL|REFERENCE|lineitem|0|2|l_extendedprice|4|77194|1|1|79|552539|38|11008|2534|573651|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
ddebca1029c9858e|0x7fb8630926105f8180bc60f862fd|0x7fb87b097290acd42a34d5fa9e23|NULL|REFERENCE|lineitem|0|2|l_discount|4|77194|1|1|79|552539|38|11008|2534|573651|"AggregateHash GroupBy ColumnIDs:  Aggregates: SUM(l_extendedprice * (1 - l_discount)), SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)"
