QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|TABLE_NAME|PRUNED_CHUNK_COUNT|PRUNED_COLUMN_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS|DESCRIPTION
"be3dfb85ac94ddfb"|"0x7fb8642df3904952f26a02935ff1"|"NULL"|"NULL"|"customer"|0|5|3|150000|11369|"GetTable (customer) pruned: 0/3 chunk(s), 5/8 column(s)"
"be3dfb85ac94ddfb"|"0x7fb873850f90e6c3787bece24556"|"NULL"|"NULL"|"orders"|0|8|23|1500000|34955|"GetTable (orders) pruned: 0/23 chunk(s), 8/9 column(s)"
"a515c8ac5ddb71e8"|"0x7fb87b23a9f0a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|126723|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"a515c8ac5ddb71e8"|"0x7fb87b23abb0ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|7154|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"ddebca1029c9858e"|"0x7fb87b237ff0a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|122622|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"ddebca1029c9858e"|"0x7fb87b2381b0ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|7695|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"77fca85fa20e8454"|"0x7fb8751a969044df8001c1284d65"|"NULL"|"NULL"|"lineitem"|0|10|92|6001215|128222|"GetTable (lineitem) pruned: 0/92 chunk(s), 10/16 column(s)"
"77fca85fa20e8454"|"0x7fb8751a9770906b0df4bc884182"|"NULL"|"NULL"|"part"|0|5|4|200000|7351|"GetTable (part) pruned: 0/4 chunk(s), 5/9 column(s)"
"cacdfebbc6c4a4a9"|"0x7fb86973c9901ffe5ea0ab36463d"|"NULL"|"NULL"|"partsupp"|0|2|13|800000|16756|"GetTable (partsupp) pruned: 0/13 chunk(s), 2/5 column(s)"
"cacdfebbc6c4a4a9"|"0x7fb86973cb50906b0df4bc884182"|"NULL"|"NULL"|"part"|0|5|4|200000|5204|"GetTable (part) pruned: 0/4 chunk(s), 5/9 column(s)"
"cacdfebbc6c4a4a9"|"0x7fb8697f50f02eecfb54cd4aafba"|"NULL"|"NULL"|"supplier"|0|0|1|10000|2622|"GetTable (supplier) pruned: 0/1 chunk(s), 0/7 column(s)"
"cacdfebbc6c4a4a9"|"0x7fb86973c7d015f336fbe2aacac2"|"NULL"|"NULL"|"nation"|0|1|1|25|2624|"GetTable (nation) pruned: 0/1 chunk(s), 1/4 column(s)"
"cacdfebbc6c4a4a9"|"0x7fb86973ef30787c913e7b77e77f"|"NULL"|"NULL"|"region"|0|1|1|5|1616|"GetTable (region) pruned: 0/1 chunk(s), 1/3 column(s)"
"3f39001248ecea36"|"0x7fb87b234ef0a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|126427|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"3f39001248ecea36"|"0x7fb87b234d30ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|6806|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"3ea7b045dd721af"|"0x7fb87b234550a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|126682|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"3ea7b045dd721af"|"0x7fb87b234710ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|6943|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"5a2b866c50993af7"|"0x7fb8783114d04952f26a02935ff1"|"NULL"|"NULL"|"customer"|0|5|3|150000|10603|"GetTable (customer) pruned: 0/3 chunk(s), 5/8 column(s)"
