QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS|DESCRIPTION
"be3dfb85ac94ddfb"|"0x7fb87970f5d01f8b2907e945a75e"|"0x7fb8745c8b10df49f4d4ecde12a6"|"NULL"|"REFERENCE"|"customer"|"c_phone"|1|7|1|7|28273|"[Projection] 'TPC-H_Q22', SUBSTR(c_phone,1,2), COUNT(*), SUM(c_acctbal)"
"be3dfb85ac94ddfb"|"0x7fb87970f5d01f8b2907e945a75e"|"0x7fb8745c8b10df49f4d4ecde12a6"|"NULL"|"REFERENCE"|"customer"|"COUNT(*)"|1|7|1|7|28273|"[Projection] 'TPC-H_Q22', SUBSTR(c_phone,1,2), COUNT(*), SUM(c_acctbal)"
"be3dfb85ac94ddfb"|"0x7fb87970f5d01f8b2907e945a75e"|"0x7fb8745c8b10df49f4d4ecde12a6"|"NULL"|"REFERENCE"|"customer"|"c_acctbal"|1|7|1|7|28273|"[Projection] 'TPC-H_Q22', SUBSTR(c_phone,1,2), COUNT(*), SUM(c_acctbal)"
"be3dfb85ac94ddfb"|"0x7fb879c3d61031153e00e017937b"|"0x7fb873850dd0de22565d328bbf29"|"NULL"|"REFERENCE"|"customer"|"c_phone"|16|6370|16|6370|2574847|"[Projection] SUBSTR(c_phone,1,2), c_acctbal"
"be3dfb85ac94ddfb"|"0x7fb879c3d61031153e00e017937b"|"0x7fb873850dd0de22565d328bbf29"|"NULL"|"REFERENCE"|"customer"|"c_acctbal"|16|6370|16|6370|2574847|"[Projection] SUBSTR(c_phone,1,2), c_acctbal"
"a515c8ac5ddb71e8"|"0x7fb87b099bd063625b34c5fad5f7"|"0x7fb86340ad103f5f6fea1fd42cb7"|"NULL"|"REFERENCE"|"lineitem"|"l_extendedprice"|1|1|1|1|56019|"[Projection] 'TPC-H_Q14', (100 * SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)) / SUM(l_extendedprice * (1 - l_discount))"
"a515c8ac5ddb71e8"|"0x7fb87b099bd063625b34c5fad5f7"|"0x7fb86340ad103f5f6fea1fd42cb7"|"NULL"|"REFERENCE"|"lineitem"|"l_discount"|1|1|1|1|56019|"[Projection] 'TPC-H_Q14', (100 * SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)) / SUM(l_extendedprice * (1 - l_discount))"
"a515c8ac5ddb71e8"|"0x7fb87b099bd063625b34c5fad5f7"|"0x7fb86340ad103f5f6fea1fd42cb7"|"NULL"|"REFERENCE"|"part"|"p_type"|1|1|1|1|56019|"[Projection] 'TPC-H_Q14', (100 * SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)) / SUM(l_extendedprice * (1 - l_discount))"
"a515c8ac5ddb71e8"|"0x7fb87b099bd063625b34c5fad5f7"|"0x7fb86340ad103f5f6fea1fd42cb7"|"NULL"|"REFERENCE"|"lineitem"|"l_extendedprice"|1|1|1|1|56019|"[Projection] 'TPC-H_Q14', (100 * SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)) / SUM(l_extendedprice * (1 - l_discount))"
"a515c8ac5ddb71e8"|"0x7fb87b099bd063625b34c5fad5f7"|"0x7fb86340ad103f5f6fea1fd42cb7"|"NULL"|"REFERENCE"|"lineitem"|"l_discount"|1|1|1|1|56019|"[Projection] 'TPC-H_Q14', (100 * SUM(CASE WHEN p_type LIKE 'PROMO%' THEN l_extendedprice * (1 - l_discount) ELSE 0 END)) / SUM(l_extendedprice * (1 - l_discount))"
