QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|GROUP_BY_COLUMN_COUNT|AGGREGATE_COLUMN_COUNT|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|GROUP_BY_KEY_PARTITIONING_NS|AGGREGATING_NS|GROUP_BY_COLUMNS_WRITING_NS|AGGREGATE_COLUMNS_WRITING_NS|OUTPUT_WRITING_NS|RUNTIME_NS|DESCRIPTION
2f68c8df87906c39|0x7f984cf39150631bca11734c3dcc|0x7f984d19695088e26468c027d390|NULL|REFERENCE|date_dim|3|1|d_year|44|1503|1|10|314663|491742|48|27586|1994|871075|"AggregateHash GroupBy ColumnIDs: 8, 4, 5 Aggregates: SUM(ss_ext_sales_price)"
2f68c8df87906c39|0x7f984cf39150631bca11734c3dcc|0x7f984d19695088e26468c027d390|NULL|REFERENCE|item|3|1|i_category_id|44|1503|1|10|314663|491742|48|27586|1994|871075|"AggregateHash GroupBy ColumnIDs: 8, 4, 5 Aggregates: SUM(ss_ext_sales_price)"
2f68c8df87906c39|0x7f984cf39150631bca11734c3dcc|0x7f984d19695088e26468c027d390|NULL|REFERENCE|item|3|1|i_category|44|1503|1|10|314663|491742|48|27586|1994|871075|"AggregateHash GroupBy ColumnIDs: 8, 4, 5 Aggregates: SUM(ss_ext_sales_price)"
2f68c8df87906c39|0x7f984cf39150631bca11734c3dcc|0x7f984d19695088e26468c027d390|NULL|REFERENCE|store_sales|3|1|ss_ext_sales_price|44|1503|1|10|314663|491742|48|27586|1994|871075|"AggregateHash GroupBy ColumnIDs: 8, 4, 5 Aggregates: SUM(ss_ext_sales_price)"
2b7e6ed9df8e2f99|0x7f984dd58510d819d60d5845dbfc|0x7f984d4d1a705103f5da498d973|NULL|REFERENCE|store_sales|2|1|ss_ticket_number|44|11555|1|1095|799277|455826|39|171773|2062|1448724|"AggregateHash GroupBy ColumnIDs: 9, 3 Aggregates: COUNT(*)"
2b7e6ed9df8e2f99|0x7f984dd58510d819d60d5845dbfc|0x7f984d4d1a705103f5da498d973|NULL|REFERENCE|store_sales|2|1|ss_customer_sk|44|11555|1|1095|799277|455826|39|171773|2062|1448724|"AggregateHash GroupBy ColumnIDs: 9, 3 Aggregates: COUNT(*)"
2b7e6ed9df8e2f99|0x7f984dd58510d819d60d5845dbfc|0x7f984d4d1a705103f5da498d973|NULL|REFERENCE|date_dim|2|1|COUNT(*)|44|11555|1|1095|799277|455826|39|171773|2062|1448724|"AggregateHash GroupBy ColumnIDs: 9, 3 Aggregates: COUNT(*)"
c472acfef2176cba|0x7f984ceef09034daae6de0c08631|0x7f984cf558707562777aae3e90b6|NULL|REFERENCE|warehouse|4|2|w_warehouse_name|4|180000|1|45000|21703581|61787994|63|5206639|8877|96006099|"AggregateHash GroupBy ColumnIDs: 9, 8, 7, 6 Aggregates: STDDEV_SAMP(inv_quantity_on_hand), AVG(inv_quantity_on_hand)"
c472acfef2176cba|0x7f984ceef09034daae6de0c08631|0x7f984cf558707562777aae3e90b6|NULL|REFERENCE|warehouse|4|2|w_warehouse_sk|4|180000|1|45000|21703581|61787994|63|5206639|8877|96006099|"AggregateHash GroupBy ColumnIDs: 9, 8, 7, 6 Aggregates: STDDEV_SAMP(inv_quantity_on_hand), AVG(inv_quantity_on_hand)"
c472acfef2176cba|0x7f984ceef09034daae6de0c08631|0x7f984cf558707562777aae3e90b6|NULL|REFERENCE|item|4|2|i_item_sk|4|180000|1|45000|21703581|61787994|63|5206639|8877|96006099|"AggregateHash GroupBy ColumnIDs: 9, 8, 7, 6 Aggregates: STDDEV_SAMP(inv_quantity_on_hand), AVG(inv_quantity_on_hand)"
c472acfef2176cba|0x7f984ceef09034daae6de0c08631|0x7f984cf558707562777aae3e90b6|NULL|REFERENCE|date_dim|4|2|d_moy|4|180000|1|45000|21703581|61787994|63|5206639|8877|96006099|"AggregateHash GroupBy ColumnIDs: 9, 8, 7, 6 Aggregates: STDDEV_SAMP(inv_quantity_on_hand), AVG(inv_quantity_on_hand)"
