QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|JOIN_MODE|LEFT_TABLE_NAME|LEFT_COLUMN_NAME|LEFT_TABLE_CHUNK_COUNT|LEFT_TABLE_ROW_COUNT|RIGHT_TABLE_NAME|RIGHT_COLUMN_NAME|RIGHT_TABLE_CHUNK_COUNT|RIGHT_TABLE_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|PREDICATE_COUNT|PRIMARY_PREDICATE|IS_FLIPPED|RADIX_BITS|BUILD_SIDE_MATERIALIZING_NS|PROBE_SIDE_MATERIALIZING_NS|CLUSTERING_NS|BUILDING_NS|PROBING_NS|OUTPUT_WRITING_NS|RUNTIME_NS|DESCRIPTION
2f68c8df87906c39|0x7f984d1964f0ef931d89641ee37c|0x7f984d1960905923d0b9db36e84a|0x7f984d244010392e21796731fc1a|Semi|store_sales|ss_sold_date_sk|44|2880404|date_dim|d_date_sk|1|30|44|88679|1|=|TRUE|0|45694|8289901|0|5313|756506|403413|9632188|JoinHash (Semi Join where ss_sold_date_sk = d_date_sk) Radix bits: 0
2f68c8df87906c39|0x7f984d196790cf92c1afec240c2d|0x7f984d1964f0ef931d89641ee37c|0x7f984d2477b0b785602c0b9678aa|Semi|store_sales|ss_item_sk|44|88679|item|i_item_sk|1|321|44|1503|1|=|TRUE|0|70571|1575617|0|30503|54290|89379|1874482|JoinHash (Semi Join where ss_item_sk = i_item_sk) Radix bits: 0
2f68c8df87906c39|0x7f984d1968706d1ea04f3ef3beb|0x7f984d246f9022e2cda318d5dcc8|0x7f984d2477b0b785602c0b9678aa|Inner|store_sales|ss_item_sk|44|1503|item|i_item_sk|1|321|44|1503|1|=|TRUE|0|55517|152374|0|22992|52919|136485|439266|JoinHash (Inner Join where ss_item_sk = i_item_sk) Radix bits: 0
2f68c8df87906c39|0x7f984d19695088e26468c027d390|0x7f984d1968706d1ea04f3ef3beb|0x7f984d244010392e21796731fc1a|Inner|store_sales|ss_sold_date_sk|44|1503|date_dim|d_date_sk|1|30|44|1503|1|=|TRUE|0|105759|131572|0|4482|43183|207835|510073|JoinHash (Inner Join where ss_sold_date_sk = d_date_sk) Radix bits: 0
2b7e6ed9df8e2f99|0x7f984d4d11b0d66eef0f719e006f|0x7f984d7f8970bd3dcf65bd2127f2|0x7f984d672630899faca9d1c60d6c|Semi|store_sales|ss_sold_date_sk|44|2880404|date_dim|d_date_sk|3|72|44|108678|1|=|TRUE|0|51989|7915318|0|9981|1028276|3413333|12514264|JoinHash (Semi Join where ss_sold_date_sk = d_date_sk) Radix bits: 0
2b7e6ed9df8e2f99|0x7f984d4d1290dca849f4ff7f342|0x7f984d672590c4867d0c8cac4785|0x7f984d672630899faca9d1c60d6c|Inner|store_sales|ss_sold_date_sk|44|108678|date_dim|d_date_sk|3|72|44|108678|1|=|TRUE|0|45250|815565|0|9587|1388418|1958339|4262282|JoinHash (Inner Join where ss_sold_date_sk = d_date_sk) Radix bits: 0
2b7e6ed9df8e2f99|0x7f984d4d0e306aba2136b940167c|0x7f984d4d1290dca849f4ff7f342|0x7f984d4d10d01129c4a5dc274e7b|Inner|store_sales|ss_store_sk|44|108678|store|s_store_sk|1|12|44|106118|1|=|TRUE|0|55730|1096738|0|3228|1445087|3084857|5727961|JoinHash (Inner Join where ss_store_sk = s_store_sk) Radix bits: 0
2b7e6ed9df8e2f99|0x7f984d4d1a705103f5da498d973|0x7f984d4d0e306aba2136b940167c|0x7f984d4d0810a6b226fb8a37d0c7|Inner|store_sales|ss_hdemo_sk|44|106118|household_demographics|hd_demo_sk|1|800|44|11555|1|=|TRUE|0|60807|1483811|0|64095|195321|1483436|3338155|JoinHash (Inner Join where ss_hdemo_sk = hd_demo_sk) Radix bits: 0
2b7e6ed9df8e2f99|0x7f984d4d1d107641d9d1419541a3|0x7f984d4d1c3062d290ebc421e5fc|0x7f984d21f850ad193237ba758e4b|Semi|customer|c_customer_sk|2|100000|store_sales|ss_customer_sk|1|71|2|4|1|=|TRUE|0|40479|227686|0|3295|3838|4101|291489|JoinHash (Semi Join where c_customer_sk = ss_customer_sk) Radix bits: 0
2b7e6ed9df8e2f99|0x7f984d4d1df02edc0095c0d0337f|0x7f984d21f850ad193237ba758e4b|0x7f984d6726d0a1e16cf0f705a21b|Inner|store_sales|ss_customer_sk|1|71|customer|c_customer_sk|2|4|1|4|1|=|TRUE|0|37323|10519|0|2379|1425|7279|66070|JoinHash (Inner Join where ss_customer_sk = c_customer_sk) Radix bits: 0
