QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS|DESCRIPTION
"2b7e6ed9df8e2f99"|"0x7f984d220750fca1d817b69d5c0d"|"0x7f984d2205d0c1c7daf49d7a450c"|"NULL"|"REFERENCE"|"customer"|"c_last_name"|1|4|1|4|8055|"[Projection] c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, COUNT(*)"
"2b7e6ed9df8e2f99"|"0x7f984d220750fca1d817b69d5c0d"|"0x7f984d2205d0c1c7daf49d7a450c"|"NULL"|"REFERENCE"|"customer"|"c_first_name"|1|4|1|4|8055|"[Projection] c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, COUNT(*)"
"2b7e6ed9df8e2f99"|"0x7f984d220750fca1d817b69d5c0d"|"0x7f984d2205d0c1c7daf49d7a450c"|"NULL"|"REFERENCE"|"customer"|"c_salutation"|1|4|1|4|8055|"[Projection] c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, COUNT(*)"
"2b7e6ed9df8e2f99"|"0x7f984d220750fca1d817b69d5c0d"|"0x7f984d2205d0c1c7daf49d7a450c"|"NULL"|"REFERENCE"|"customer"|"c_preferred_cust_flag"|1|4|1|4|8055|"[Projection] c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, COUNT(*)"
"2b7e6ed9df8e2f99"|"0x7f984d220750fca1d817b69d5c0d"|"0x7f984d2205d0c1c7daf49d7a450c"|"NULL"|"REFERENCE"|"store_sales"|"ss_ticket_number"|1|4|1|4|8055|"[Projection] c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, COUNT(*)"
"2b7e6ed9df8e2f99"|"0x7f984d220750fca1d817b69d5c0d"|"0x7f984d2205d0c1c7daf49d7a450c"|"NULL"|"REFERENCE"|"date_dim"|"COUNT(*)"|1|4|1|4|8055|"[Projection] c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, COUNT(*)"
"c472acfef2176cba"|"0x7f985063a310db192dac56ff2dd5"|"0x7f985063a1906020451178e39d15"|"NULL"|"REFERENCE"|"warehouse"|"w_warehouse_sk"|1|243|1|243|10776|"[Projection] w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END, w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END"
"c472acfef2176cba"|"0x7f985063a310db192dac56ff2dd5"|"0x7f985063a1906020451178e39d15"|"NULL"|"REFERENCE"|"item"|"i_item_sk"|1|243|1|243|10776|"[Projection] w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END, w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END"
"c472acfef2176cba"|"0x7f985063a310db192dac56ff2dd5"|"0x7f985063a1906020451178e39d15"|"NULL"|"REFERENCE"|"date_dim"|"d_moy"|1|243|1|243|10776|"[Projection] w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END, w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END"
"c472acfef2176cba"|"0x7f985063a310db192dac56ff2dd5"|"0x7f985063a1906020451178e39d15"|"NULL"|"REFERENCE"|"inventory"|"inv_quantity_on_hand"|1|243|1|243|10776|"[Projection] w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END, w_warehouse_sk, i_item_sk, d_moy, AVG(inv_quantity_on_hand), CASE WHEN AVG(inv_quantity_on_hand) = 0 THEN NULL ELSE STDDEV_SAMP(inv_quantity_on_hand) / AVG(inv_quantity_on_hand) END"
