TABLE_NAME|CHUNK_ID|COLUMN_ID|COLUMN_NAME|COLUMN_DATA_TYPE|DISTINCT_VALUE_COUNT|ENCODING_TYPE|VECTOR_COMPRESSION_TYPE|SIZE_IN_BYTES|POINT_ACCESSES|SEQUENTIAL_ACCESSES|MONOTONIC_ACCESSES|RANDOM_ACCESSES
"customer"|0|0|"c_customer_sk"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393306|0|59047235|16390100|1883500
"customer"|0|1|"c_customer_id"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3866693|0|65535|848900|21600
"customer"|0|2|"c_current_cdemo_sk"|"int"|62315|"Dictionary"|"FixedSize2ByteAligned"|380426|0|13172535|796000|219000
"customer"|0|3|"c_current_hdemo_sk"|"int"|7200|"Dictionary"|"FixedSize2ByteAligned"|159966|0|65535|708400|109500
"customer"|0|4|"c_current_addr_sk"|"int"|36586|"Dictionary"|"FixedSize2ByteAligned"|277510|0|26279535|9215400|188600
"customer"|0|5|"c_first_shipto_date_sk"|"int"|3651|"Dictionary"|"FixedSize2ByteAligned"|145770|0|65535|0|0
"customer"|0|6|"c_first_sales_date_sk"|"int"|3651|"Dictionary"|"FixedSize2ByteAligned"|145770|0|65535|0|0
"customer"|0|7|"c_salutation"|"string"|6|"Dictionary"|"FixedSize1ByteAligned"|65903|0|65535|0|45300
"customer"|0|8|"c_first_name"|"string"|3687|"Dictionary"|"FixedSize2ByteAligned"|278678|0|65535|0|507000
"customer"|0|9|"c_last_name"|"string"|4883|"Dictionary"|"FixedSize2ByteAligned"|326518|0|65535|0|507200
"customer"|0|10|"c_preferred_cust_flag"|"string"|2|"Dictionary"|"FixedSize1ByteAligned"|65743|0|65535|0|23700
"customer"|0|11|"c_birth_day"|"int"|31|"Dictionary"|"FixedSize1ByteAligned"|65755|0|65535|0|0
"customer"|0|12|"c_birth_month"|"int"|12|"Dictionary"|"FixedSize1ByteAligned"|65679|0|65535|0|0
"customer"|0|13|"c_birth_year"|"int"|69|"Dictionary"|"FixedSize1ByteAligned"|65907|0|65535|0|0
"customer"|0|14|"c_birth_country"|"string"|211|"Dictionary"|"FixedSize1ByteAligned"|74408|0|65535|0|0
"customer"|0|15|"c_login"|"string"|0|"Dictionary"|"FixedSize1ByteAligned"|65663|0|65535|0|0
"customer"|0|16|"c_email_address"|"string"|63245|"Dictionary"|"FixedSize2ByteAligned"|4458243|0|65535|0|0
"customer"|0|17|"c_last_review_date"|"int"|366|"Dictionary"|"FixedSize2ByteAligned"|132630|0|65535|0|0
"customer"|1|0|"c_customer_sk"|"int"|34465|"Dictionary"|"FixedSize2ByteAligned"|206886|0|31053165|8608500|994400
"customer"|1|1|"c_customer_id"|"string"|34465|"Dictionary"|"FixedSize2ByteAligned"|2033563|0|34465|444500|12300
"customer"|1|2|"c_current_cdemo_sk"|"int"|32960|"Dictionary"|"FixedSize2ByteAligned"|200866|0|6927465|431300|122000
"customer"|1|3|"c_current_hdemo_sk"|"int"|7139|"Dictionary"|"FixedSize2ByteAligned"|97582|0|34465|376300|61000
"customer"|1|4|"c_current_addr_sk"|"int"|24896|"Dictionary"|"FixedSize2ByteAligned"|168610|0|13820465|4867900|109800
"customer"|1|5|"c_first_shipto_date_sk"|"int"|3651|"Dictionary"|"FixedSize2ByteAligned"|83630|0|34465|0|0
"customer"|1|6|"c_first_sales_date_sk"|"int"|3651|"Dictionary"|"FixedSize2ByteAligned"|83630|0|34465|0|0
"customer"|1|7|"c_salutation"|"string"|6|"Dictionary"|"FixedSize1ByteAligned"|34833|0|34465|0|23600
"customer"|1|8|"c_first_name"|"string"|2957|"Dictionary"|"FixedSize2ByteAligned"|187338|0|34465|0|263200
"customer"|1|9|"c_last_name"|"string"|4492|"Dictionary"|"FixedSize2ByteAligned"|248738|0|34465|0|263400
"customer"|1|10|"c_preferred_cust_flag"|"string"|2|"Dictionary"|"FixedSize1ByteAligned"|34673|0|34465|0|11300
"customer"|1|11|"c_birth_day"|"int"|31|"Dictionary"|"FixedSize1ByteAligned"|34685|0|34465|0|0
"customer"|1|12|"c_birth_month"|"int"|12|"Dictionary"|"FixedSize1ByteAligned"|34609|0|34465|0|0
"customer"|1|13|"c_birth_year"|"int"|69|"Dictionary"|"FixedSize1ByteAligned"|34837|0|34465|0|0
"customer"|1|14|"c_birth_country"|"string"|211|"Dictionary"|"FixedSize1ByteAligned"|43338|0|34465|0|0
"customer"|1|15|"c_login"|"string"|0|"Dictionary"|"FixedSize1ByteAligned"|34593|0|34465|0|0
"customer"|1|16|"c_email_address"|"string"|33234|"Dictionary"|"FixedSize2ByteAligned"|2342752|0|34465|0|0
"customer"|1|17|"c_last_review_date"|"int"|366|"Dictionary"|"FixedSize2ByteAligned"|70490|0|34465|0|0
"web_site"|0|0|"web_site_sk"|"int"|30|"Dictionary"|"FixedSize1ByteAligned"|246|0|3030|0|0
"web_site"|0|1|"web_site_id"|"string"|15|"Dictionary"|"FixedSize1ByteAligned"|1013|0|30|0|0
"web_site"|0|2|"web_rec_start_date"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|318|0|30|0|0
"web_site"|0|3|"web_rec_end_date"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|278|0|30|0|0
"web_site"|0|4|"web_name"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|358|0|30|0|0
"web_site"|0|5|"web_open_date_sk"|"int"|15|"Dictionary"|"FixedSize1ByteAligned"|186|0|30|0|0
"web_site"|0|6|"web_close_date_sk"|"int"|10|"Dictionary"|"FixedSize1ByteAligned"|166|0|30|0|0
"web_site"|0|7|"web_class"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|198|0|30|0|0
"web_site"|0|8|"web_manager"|"string"|22|"Dictionary"|"FixedSize1ByteAligned"|1055|0|30|0|0
"web_site"|0|9|"web_mkt_id"|"int"|6|"Dictionary"|"FixedSize1ByteAligned"|150|0|30|0|0
"web_site"|0|10|"web_mkt_class"|"string"|22|"Dictionary"|"FixedSize1ByteAligned"|1794|0|30|0|0
"web_site"|0|11|"web_mkt_desc"|"string"|18|"Dictionary"|"FixedSize1ByteAligned"|2076|0|30|0|0
"web_site"|0|12|"web_market_manager"|"string"|25|"Dictionary"|"FixedSize1ByteAligned"|1175|0|30|0|0
"web_site"|0|13|"web_company_id"|"int"|6|"Dictionary"|"FixedSize1ByteAligned"|150|0|30|0|0
"web_site"|0|14|"web_company_name"|"string"|6|"Dictionary"|"FixedSize1ByteAligned"|398|0|30|0|0
"web_site"|0|15|"web_street_number"|"string"|18|"Dictionary"|"FixedSize1ByteAligned"|878|0|30|0|0
"web_site"|0|16|"web_street_name"|"string"|30|"Dictionary"|"FixedSize1ByteAligned"|1358|0|30|0|0
"web_site"|0|17|"web_street_type"|"string"|15|"Dictionary"|"FixedSize1ByteAligned"|758|0|30|0|0
"web_site"|0|18|"web_suite_number"|"string"|23|"Dictionary"|"FixedSize1ByteAligned"|1078|0|30|0|0
"web_site"|0|19|"web_city"|"string"|2|"Dictionary"|"FixedSize1ByteAligned"|238|0|30|0|0
"web_site"|0|20|"web_county"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|216|0|30|0|0
"web_site"|0|21|"web_state"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|198|0|30|0|0
"web_site"|0|22|"web_zip"|"string"|2|"Dictionary"|"FixedSize1ByteAligned"|238|0|30|0|0
"web_site"|0|23|"web_country"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|198|0|30|0|0
"web_site"|0|24|"web_gmt_offset"|"float"|1|"Dictionary"|"FixedSize1ByteAligned"|130|0|30|0|0
"web_site"|0|25|"web_tax_percentage"|"float"|10|"Dictionary"|"FixedSize1ByteAligned"|166|0|30|0|0
"catalog_sales"|0|0|"cs_sold_date_sk"|"int"|143|"Dictionary"|"FixedSize1ByteAligned"|66203|0|52493535|875200|0
"catalog_sales"|0|1|"cs_sold_time_sk"|"int"|6913|"Dictionary"|"FixedSize2ByteAligned"|158818|0|65535|0|0
"catalog_sales"|0|2|"cs_ship_date_sk"|"int"|232|"Dictionary"|"FixedSize1ByteAligned"|66559|0|6619035|0|0
"catalog_sales"|0|3|"cs_bill_customer_sk"|"int"|7026|"Dictionary"|"FixedSize2ByteAligned"|159270|0|6619035|0|0
"catalog_sales"|0|4|"cs_bill_cdemo_sk"|"int"|7265|"Dictionary"|"FixedSize2ByteAligned"|160226|0|65535|0|0
"catalog_sales"|0|5|"cs_bill_hdemo_sk"|"int"|4581|"Dictionary"|"FixedSize2ByteAligned"|149490|0|65535|0|0
"catalog_sales"|0|6|"cs_bill_addr_sk"|"int"|6741|"Dictionary"|"FixedSize2ByteAligned"|158130|0|65535|0|0
"catalog_sales"|0|7|"cs_ship_customer_sk"|"int"|7014|"Dictionary"|"FixedSize2ByteAligned"|159222|0|65535|0|0
"catalog_sales"|0|8|"cs_ship_cdemo_sk"|"int"|7267|"Dictionary"|"FixedSize2ByteAligned"|160234|0|65535|0|0
"catalog_sales"|0|9|"cs_ship_hdemo_sk"|"int"|4558|"Dictionary"|"FixedSize2ByteAligned"|149398|0|65535|0|0
"catalog_sales"|0|10|"cs_ship_addr_sk"|"int"|6763|"Dictionary"|"FixedSize2ByteAligned"|158218|0|65535|0|0
"catalog_sales"|0|11|"cs_call_center_sk"|"int"|3|"Dictionary"|"FixedSize1ByteAligned"|65643|0|65535|0|0
"catalog_sales"|0|12|"cs_catalog_page_sk"|"int"|540|"Dictionary"|"FixedSize2ByteAligned"|133326|0|65535|0|0
"catalog_sales"|0|13|"cs_ship_mode_sk"|"int"|20|"Dictionary"|"FixedSize1ByteAligned"|65711|0|65535|0|0
"catalog_sales"|0|14|"cs_warehouse_sk"|"int"|5|"Dictionary"|"FixedSize1ByteAligned"|65651|0|65535|0|0
"catalog_sales"|0|15|"cs_item_sk"|"int"|8992|"Dictionary"|"FixedSize2ByteAligned"|167134|0|65535|0|0
"catalog_sales"|0|16|"cs_promo_sk"|"int"|300|"Dictionary"|"FixedSize2ByteAligned"|132366|0|65535|0|0
"catalog_sales"|0|17|"cs_order_number"|"int"|7285|"Dictionary"|"FixedSize2ByteAligned"|160306|0|65535|0|0
"catalog_sales"|0|18|"cs_quantity"|"int"|100|"Dictionary"|"FixedSize1ByteAligned"|66031|0|65535|0|0
