QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|JOIN_MODE|LEFT_TABLE_NAME|LEFT_COLUMN_NAME|LEFT_TABLE_CHUNK_COUNT|LEFT_TABLE_ROW_COUNT|RIGHT_TABLE_NAME|RIGHT_COLUMN_NAME|RIGHT_TABLE_CHUNK_COUNT|RIGHT_TABLE_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|PREDICATE_COUNT|PRIMARY_PREDICATE|IS_FLIPPED|RADIX_BITS|BUILD_SIDE_MATERIALIZING_NS|PROBE_SIDE_MATERIALIZING_NS|CLUSTERING_NS|BUILDING_NS|PROBING_NS|OUTPUT_WRITING_NS|RUNTIME_NS|DESCRIPTION
be3dfb85ac94ddfb|0x7fb873850dd0de22565d328bbf29|0x7fb8783f44901dba80a0d74ac340|0x7fb879b33ef0825a53d3e5ac9748|AntiNullAsFalse|customer|c_custkey|3|19065|orders|o_custkey|23|1500000|16|6370|1|=|TRUE|4|18146294|653702|5792211|14795696|350582|175823|40030852|JoinHash (AntiNullAsFalse Join where c_custkey = o_custkey) Radix bits: 4
a515c8ac5ddb71e8|0x7fb87b23aad044c62589f91ea0d6|0x7fb87b3c53d039a72ff628915c75|0x7fb87b3c54707724a5f3931b01be|Inner|lineitem|l_partkey|92|69561|part|p_partkey|4|200000|4|69561|1|=|FALSE|0|5639034|2099986|0|7834487|2090767|1181460|19329032|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
ddebca1029c9858e|0x7fb87b2380d06c6fdf417fb37098|0x7fb87b2ffe90af366235ec8ef13b|0x7fb87b2fffd07724a5f3931b01be|Inner|lineitem|l_partkey|92|77194|part|p_partkey|4|200000|4|77194|1|=|FALSE|0|5928054|2235801|0|9473749|2149637|1282190|22008904|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
77fca85fa20e8454|0x7fb877530e101d03236f1f3eb9b5|0x7fb8751a969044df8001c1284d65|0x7fb8775340d0998de3bd0491316c|Semi|lineitem|l_partkey|92|6001215|part|p_partkey|1|469|92|13902|1|=|TRUE|0|120139|27044742|0|53543|321197|260491|27990001|JoinHash (Semi Join where l_partkey = p_partkey) Radix bits: 0
77fca85fa20e8454|0x7fb8775313503aa0b02baa386071|0x7fb87659877065e18f354eb54f8f|0x7fb8775340d0998de3bd0491316c|Inner|lineitem|l_partkey|92|504|part|p_partkey|1|469|92|504|1|=|TRUE|0|115063|189455|0|58369|54244|318076|768710|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb86973e670218548ed661783ea|0x7fb86973c9901ffe5ea0ab36463d|0x7fb87b3119b08d65217a00e3fa2|Semi|partsupp|ps_partkey|13|800000|part|p_partkey|4|794|13|3176|1|=|TRUE|0|86051|2934725|0|73116|61309|24796|3211951|JoinHash (Semi Join where ps_partkey = p_partkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb8697f57108d87ee008b6cc1ed|0x7fb86973c7d015f336fbe2aacac2|0x7fb87a9f68707cbe953eee29d34e|Semi|nation|n_regionkey|1|25|region|r_regionkey|1|1|1|5|1|=|TRUE|0|34532|9445|0|2256|1556|1669|55882|JoinHash (Semi Join where n_regionkey = r_regionkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb8697f54708cf0345213e91b02|0x7fb8697f50f02eecfb54cd4aafba|0x7fb87a9f7590788f2215c6bf81b1|Semi|supplier|s_nationkey|1|10000|nation|n_nationkey|1|5|1|1955|1|=|TRUE|0|31561|52587|0|2415|32308|20710|149099|JoinHash (Semi Join where s_nationkey = n_nationkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb86973ced0a504f3bbd897311b|0x7fb87b312e50aa8c158e73ec2548|0x7fb87a9f7590788f2215c6bf81b1|Inner|supplier|s_nationkey|1|1955|nation|n_nationkey|1|5|1|1955|1|=|TRUE|0|31837|21154|0|2620|38934|30992|133229|JoinHash (Inner Join where s_nationkey = n_nationkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb86973c0d0de261fe086f6fea|0x7fb86973e670218548ed661783ea|0x7fb86973ced0a504f3bbd897311b|Semi|partsupp|ps_suppkey|13|3176|supplier|s_suppkey|1|1955|13|600|1|=|TRUE|0|60097|66372|0|95906|16560|24834|279771|JoinHash (Semi Join where ps_suppkey = s_suppkey) Radix bits: 0
