QUERY_HASH|EXECUTION_COUNT|QUERY_STRING
"be3dfb85ac94ddfb"|1|"SELECT         'TPC-H_Q22', cntrycode, COUNT(*) AS numcust, SUM(c_acctbal) AS totacctbal       FROM         (SELECT            SUBSTR(c_phone,1,2) AS cntrycode, c_acctbal          FROM            customer          WHERE            SUBSTR(c_phone,1,2) IN ('34', '28', '16', '24', '12', '18', '10') AND            c_acctbal > (SELECT                           AVG(c_acctbal)                         FROM                           customer                         WHERE                          c_acctbal > 0.00 AND                          SUBSTR(c_phone,1,2) IN ('34', '28', '16', '24', '12', '18', '10')) AND            NOT EXISTS ( SELECT * FROM orders WHERE o_custkey = c_custkey)        ) AS custsale       GROUP BY cntrycode       ORDER BY cntrycode;"
"a515c8ac5ddb71e8"|2|"SELECT 'TPC-H_Q14', 100.00 * SUM(case when p_type like 'PROMO%' then l_extendedprice*(1-l_discount) else 0 end)      / SUM(l_extendedprice * (1 - l_discount)) as promo_revenue FROM lineitem, part WHERE l_partkey = p_partkey      AND l_shipdate >= '1994-02-01' AND l_shipdate < '1994-03-01';"
"ddebca1029c9858e"|2|"SELECT 'TPC-H_Q14', 100.00 * SUM(case when p_type like 'PROMO%' then l_extendedprice*(1-l_discount) else 0 end)      / SUM(l_extendedprice * (1 - l_discount)) as promo_revenue FROM lineitem, part WHERE l_partkey = p_partkey      AND l_shipdate >= '1993-03-01' AND l_shipdate < '1993-04-01';"
"77fca85fa20e8454"|1|"SELECT 'TPC-H_Q19', SUM(l_extendedprice * (1 - l_discount) ) as revenue FROM lineitem, part WHERE (( p_partkey = l_partkey AND      p_brand = 'Brand#42' AND p_container in ( 'SM CASE', 'SM BOX', 'SM PACK', 'SM PKG') AND l_quantity >= 10 AND l_quantity      <= 10 + 10 AND p_size between 1 AND 5 AND l_shipmode in ('AIR', 'AIR REG') AND l_shipinstruct = 'DELIVER IN PERSON') or      (p_partkey = l_partkey AND p_brand = 'Brand#33' AND p_container in ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK') AND      l_quantity >= 18 AND l_quantity <= 18 + 10 AND p_size between 1 AND 10 AND l_shipmode in ('AIR', 'AIR REG') AND      l_shipinstruct = 'DELIVER IN PERSON') or (p_partkey = l_partkey AND p_brand = 'Brand#14' AND p_container in (      'LG CASE', 'LG BOX', 'LG PACK', 'LG PKG') AND l_quantity >= 26 AND l_quantity <= 26 + 10 AND p_size between 1 AND 15      AND l_shipmode in ('AIR', 'AIR REG') AND l_shipinstruct = 'DELIVER IN PERSON'));"
"cacdfebbc6c4a4a9"|2|"SELECT 'TPC-H_Q02', s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment       FROM part, supplier, partsupp, nation, region       WHERE p_partkey = ps_partkey AND s_suppkey = ps_suppkey AND p_size = 46 AND p_type like '%STEEL' AND       s_nationkey = n_nationkey AND n_regionkey = r_regionkey AND r_name = 'AFRICA' AND       ps_supplycost = (SELECT min(ps_supplycost) FROM partsupp, supplier, nation, region       WHERE p_partkey = ps_partkey AND s_suppkey = ps_suppkey AND s_nationkey = n_nationkey       AND n_regionkey = r_regionkey AND r_name = 'AFRICA') ORDER BY s_acctbal DESC, n_name, s_name, p_partkey LIMIT 100;"
"3f39001248ecea36"|4|"SELECT 'TPC-H_Q14', 100.00 * SUM(case when p_type like 'PROMO%' then l_extendedprice*(1-l_discount) else 0 end)      / SUM(l_extendedprice * (1 - l_discount)) as promo_revenue FROM lineitem, part WHERE l_partkey = p_partkey      AND l_shipdate >= '1993-10-01' AND l_shipdate < '1993-11-01';"
"3ea7b045dd721af"|3|"SELECT 'TPC-H_Q14', 100.00 * SUM(case when p_type like 'PROMO%' then l_extendedprice*(1-l_discount) else 0 end)      / SUM(l_extendedprice * (1 - l_discount)) as promo_revenue FROM lineitem, part WHERE l_partkey = p_partkey      AND l_shipdate >= '1997-02-01' AND l_shipdate < '1997-03-01';"
"5a2b866c50993af7"|1|"SELECT         'TPC-H_Q22', cntrycode, COUNT(*) AS numcust, SUM(c_acctbal) AS totacctbal       FROM         (SELECT            SUBSTR(c_phone,1,2) AS cntrycode, c_acctbal          FROM            customer          WHERE            SUBSTR(c_phone,1,2) IN ('27', '29', '26', '34', '32', '17', '25') AND            c_acctbal > (SELECT                           AVG(c_acctbal)                         FROM                           customer                         WHERE                          c_acctbal > 0.00 AND                          SUBSTR(c_phone,1,2) IN ('27', '29', '26', '34', '32', '17', '25')) AND            NOT EXISTS ( SELECT * FROM orders WHERE o_custkey = c_custkey)        ) AS custsale       GROUP BY cntrycode       ORDER BY cntrycode;"
"17ec44c1749bf778"|3|"SELECT 'TPC-H_Q14', 100.00 * SUM(case when p_type like 'PROMO%' then l_extendedprice*(1-l_discount) else 0 end)      / SUM(l_extendedprice * (1 - l_discount)) as promo_revenue FROM lineitem, part WHERE l_partkey = p_partkey      AND l_shipdate >= '1994-05-01' AND l_shipdate < '1994-06-01';"
"3cb753cf8eadaf9d"|4|"SELECT 'TPC-H_Q13', c_count, count(*) as custdist FROM (SELECT c_custkey, count(o_orderkey) AS c_count      FROM customer left outer join orders on c_custkey = o_custkey AND o_comment not like '%special%packages%'      GROUP BY c_custkey) as c_orders GROUP BY c_count ORDER BY custdist DESC, c_count DESC;"
