TABLE_NAME|CHUNK_ID|COLUMN_ID|COLUMN_NAME|COLUMN_DATA_TYPE|DISTINCT_VALUE_COUNT|ENCODING_TYPE|VECTOR_COMPRESSION_TYPE|SIZE_IN_BYTES|POINT_ACCESSES|SEQUENTIAL_ACCESSES|MONOTONIC_ACCESSES|RANDOM_ACCESSES
"region"|0|0|"r_regionkey"|"int"|5|"Dictionary"|"FixedSize1ByteAligned"|121|300|5|0|0
"region"|0|1|"r_name"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|333|0|5|0|0
"region"|0|2|"r_comment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|668|0|5|0|0
"customer"|0|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393306|1350|26279535|4497033|78275366
"customer"|0|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997763|1350|65535|0|4949988
"customer"|0|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4293294|0|65535|0|4949063
"customer"|0|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65731|0|19726035|523892|7927614
"customer"|0|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752598|0|65535|8903060|5226324
"customer"|0|5|"c_acctbal"|"float"|63528|"Dictionary"|"FixedSize2ByteAligned"|385278|0|65535|1667452|5226324
"customer"|0|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65863|0|65535|0|0
"customer"|0|7|"c_comment"|"string"|65524|"Dictionary"|"FixedSize2ByteAligned"|7570925|0|65535|0|4949063
"customer"|1|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393306|1875|26279535|4503633|78764431
"customer"|1|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997763|1875|65535|0|4982647
"customer"|1|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4289601|0|65535|0|4981722
"customer"|1|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65731|0|19726035|523483|7980967
"customer"|1|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752598|0|65535|8941745|5261835
"customer"|1|5|"c_acctbal"|"float"|63630|"Dictionary"|"FixedSize2ByteAligned"|385686|0|65535|1668966|5261835
"customer"|1|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65863|0|65535|0|0
"customer"|1|7|"c_comment"|"string"|65518|"Dictionary"|"FixedSize2ByteAligned"|7560234|0|65535|0|4981722
"customer"|2|0|"c_custkey"|"int"|18930|"Dictionary"|"FixedSize2ByteAligned"|113676|675|7590930|1304644|22712605
"customer"|2|1|"c_name"|"string"|18930|"Dictionary"|"FixedSize2ByteAligned"|1154858|675|18930|0|1435289
"customer"|2|2|"c_address"|"string"|18930|"Dictionary"|"FixedSize2ByteAligned"|1236673|0|18930|0|1434564
"customer"|2|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|19126|0|5697930|151390|2304046
"customer"|2|4|"c_phone"|"string"|18930|"Dictionary"|"FixedSize2ByteAligned"|795188|0|18930|2589699|1514103
"customer"|2|5|"c_acctbal"|"float"|18769|"Dictionary"|"FixedSize2ByteAligned"|113032|0|18930|480562|1514103
"customer"|2|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|19258|0|18930|0|0
"customer"|2|7|"c_comment"|"string"|18926|"Dictionary"|"FixedSize2ByteAligned"|2191855|0|18930|0|1434564
"supplier"|0|0|"s_suppkey"|"int"|10000|"Dictionary"|"FixedSize2ByteAligned"|60096|100|3920000|1522159|100
"supplier"|0|1|"s_name"|"string"|10000|"Dictionary"|"FixedSize2ByteAligned"|610128|0|10000|17929|512417
"supplier"|0|2|"s_address"|"string"|10000|"Dictionary"|"FixedSize2ByteAligned"|653730|0|10000|0|28029
"supplier"|0|3|"s_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|10196|0|7100000|1456614|36425254
"supplier"|0|4|"s_phone"|"string"|10000|"Dictionary"|"FixedSize2ByteAligned"|420128|0|10000|0|10100
"supplier"|0|5|"s_acctbal"|"float"|9955|"Dictionary"|"FixedSize2ByteAligned"|59916|0|10000|0|56852
"supplier"|0|6|"s_comment"|"string"|10000|"Dictionary"|"FixedSize2ByteAligned"|1055823|0|10000|0|10000
"orders"|0|0|"o_orderkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393306|0|26279535|8337452|6809033
"orders"|0|1|"o_custkey"|"int"|46939|"Dictionary"|"FixedSize2ByteAligned"|318922|0|17133789|6531980|1016738
"orders"|0|2|"o_orderstatus"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|65783|0|65535|0|0
"orders"|0|3|"o_totalprice"|"float"|65419|"Dictionary"|"FixedSize2ByteAligned"|392842|0|65535|0|0
"orders"|0|4|"o_orderdate"|"string"|2406|"Dictionary"|"FixedSize2ByteAligned"|227438|0|65535|0|1438117
"orders"|0|5|"o_orderpriority"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65863|0|65535|0|365491
"orders"|0|6|"o_clerk"|"string"|1000|"Dictionary"|"FixedSize2ByteAligned"|171198|0|65535|0|0
"orders"|0|7|"o_shippriority"|"int"|1|"Dictionary"|"FixedSize1ByteAligned"|65635|0|65535|0|0
"orders"|0|8|"o_comment"|"string"|64235|"Dictionary"|"FixedSize2ByteAligned"|5909365|0|65535|0|0
"orders"|1|0|"o_orderkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393306|0|26279535|8327103|6786150
