QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|SCANS_SKIPPED|SCANS_SORTED|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS|DESCRIPTION
"be3dfb85ac94ddfb"|"0x7fb8783f44901dba80a0d74ac340"|"0x7fb8783f41f0525a54502c64cfc8"|"NULL"|"REFERENCE"|"customer"|"c_phone"|0|0|3|68027|3|19065|9732024|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('34', '28', '16', '24', '12', '18', '10')"
"be3dfb85ac94ddfb"|"0x7fb8783f41f0525a54502c64cfc8"|"0x7fb879b339f0f5e63503045c6bc2"|"NULL"|"REFERENCE"|"customer"|"c_acctbal"|0|0|3|150000|3|68027|26966593|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7fb879311e90)"
"a515c8ac5ddb71e8"|"0x7fb87b23a910580f20693f9b3910"|"0x7fb87b23a9f0a24853058028fe4"|"NULL"|"DATA"|"lineitem"|"l_shipdate"|0|0|92|6001215|92|69561|6218692|"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1994-02-01' AND '1994-03-01'"
"ddebca1029c9858e"|"0x7fb87b237f10138c41bccfd8792f"|"0x7fb87b237ff0a24853058028fe4"|"NULL"|"DATA"|"lineitem"|"l_shipdate"|0|0|92|6001215|92|77194|6327474|"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1993-03-01' AND '1993-04-01'"
"77fca85fa20e8454"|"0x7fb87503eb509ec9034ba0ab58b8"|"0x7fb87503bf90f23029bb0eb2b554"|"NULL"|"REFERENCE"|"part"|"p_size"|0|0|28|32|28|32|120862|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 10"
"77fca85fa20e8454"|"0x7fb87503bf90f23029bb0eb2b554"|"0x7fb8775342905639fdceeec45e5"|"NULL"|"REFERENCE"|"lineitem"|"l_quantity"|0|0|52|85|28|32|147484|"TableScan Impl: ColumnVsValue l_quantity >= 18"
"77fca85fa20e8454"|"0x7fb8775342905639fdceeec45e5"|"0x7fb8775341b0f17730a6fa188835"|"NULL"|"REFERENCE"|"lineitem"|"l_quantity"|0|0|81|168|52|85|265609|"TableScan Impl: ColumnVsValue l_quantity <= 28"
"77fca85fa20e8454"|"0x7fb8775341b0f17730a6fa188835"|"0x7fb8775315109068d6467113a24f"|"NULL"|"REFERENCE"|"part"|"p_container"|0|0|81|168|81|168|696014|"TableScan Impl: ExpressionEvaluator (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')"
"77fca85fa20e8454"|"0x7fb8775315109068d6467113a24f"|"0x7fb8775313503aa0b02baa386071"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|92|504|81|168|488812|"TableScan Impl: ColumnVsValue p_brand = 'Brand#33'"
"77fca85fa20e8454"|"0x7fb8775310b03d02a42b14472b62"|"0x7fb876976db070486983d8e55a6e"|"NULL"|"REFERENCE"|"lineitem"|"l_shipinstruct"|0|0|92|1961|92|504|407057|"TableScan Impl: ColumnVsValue l_shipinstruct = 'DELIVER IN PERSON'"
"77fca85fa20e8454"|"0x7fb877530ef0a8e31c1f621135a"|"0x7fb877530e101d03236f1f3eb9b5"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|92|0|92|13902|0|0|150041|"TableScan Impl: ColumnVsValue l_shipmode = 'AIR REG'"
"77fca85fa20e8454"|"0x7fb87753207067801920f5b728f"|"0x7fb8751a8a504543ccd001f8dcef"|"NULL"|"REFERENCE"|"part"|"p_size"|0|0|4|804|4|86|26826|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 5"
"77fca85fa20e8454"|"0x7fb8751a8a504543ccd001f8dcef"|"0x7fb87503edf0f3862a0ff404e90d"|"NULL"|"REFERENCE"|"part"|"p_container"|0|0|4|7908|4|804|738425|"TableScan Impl: ExpressionEvaluator (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')"
"77fca85fa20e8454"|"0x7fb87503edf0f3862a0ff404e90d"|"0x7fb877f85c905135e9eb0c8fdaf7"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|4|200000|4|7908|292287|"TableScan Impl: ColumnVsValue p_brand = 'Brand#42'"
"77fca85fa20e8454"|"0x7fb877531270f5eb539998e9a9a4"|"0x7fb87753119047f2631c2959e457"|"NULL"|"REFERENCE"|"part"|"p_size"|0|0|4|802|4|151|25596|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 10"
"77fca85fa20e8454"|"0x7fb87753119047f2631c2959e457"|"0x7fb877533ff0f99ceded28013ff"|"NULL"|"REFERENCE"|"part"|"p_container"|0|0|4|8141|4|802|753202|"TableScan Impl: ExpressionEvaluator (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')"
"77fca85fa20e8454"|"0x7fb877533ff0f99ceded28013ff"|"0x7fb877f85c905135e9eb0c8fdaf7"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|4|200000|4|8141|292205|"TableScan Impl: ColumnVsValue p_brand = 'Brand#33'"
"77fca85fa20e8454"|"0x7fb877531eb03319ba42708f0e02"|"0x7fb877531dd0762784a8c55e8dfd"|"NULL"|"REFERENCE"|"part"|"p_size"|0|0|4|778|4|232|27133|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 15"
"77fca85fa20e8454"|"0x7fb877531dd0762784a8c55e8dfd"|"0x7fb8775315f0e1538c9286805127"|"NULL"|"REFERENCE"|"part"|"p_container"|0|0|4|8053|4|778|731608|"TableScan Impl: ExpressionEvaluator (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')"
"77fca85fa20e8454"|"0x7fb8775315f0e1538c9286805127"|"0x7fb877f85c905135e9eb0c8fdaf7"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|4|200000|4|8053|273037|"TableScan Impl: ColumnVsValue p_brand = 'Brand#14'"
"77fca85fa20e8454"|"0x7fb877530fd06b1bc28daa030c53"|"0x7fb877530e101d03236f1f3eb9b5"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|13902|92|1961|590081|"TableScan Impl: ColumnVsValue l_shipmode = 'AIR'"
"77fca85fa20e8454"|"0x7fb8751a8eb0caa94bfc46a97c4c"|"0x7fb8751a8c109bd56c21a74bf7fd"|"NULL"|"REFERENCE"|"part"|"p_size"|0|0|45|55|45|55|190483|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 15"
"77fca85fa20e8454"|"0x7fb8751a8c109bd56c21a74bf7fd"|"0x7fb8751a8b30514b6bb84c8e713b"|"NULL"|"REFERENCE"|"lineitem"|"l_quantity"|0|0|67|106|45|55|207957|"TableScan Impl: ColumnVsValue l_quantity <= 36"
"77fca85fa20e8454"|"0x7fb8751a8b30514b6bb84c8e713b"|"0x7fb87503ed10ef1a116c20f61a1d"|"NULL"|"REFERENCE"|"lineitem"|"l_quantity"|0|0|89|248|67|106|305535|"TableScan Impl: ColumnVsValue l_quantity >= 26"
"77fca85fa20e8454"|"0x7fb87503ed10ef1a116c20f61a1d"|"0x7fb87503ec30b796f2aeb2297aba"|"NULL"|"REFERENCE"|"part"|"p_container"|0|0|89|248|89|248|759756|"TableScan Impl: ExpressionEvaluator (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')"
"77fca85fa20e8454"|"0x7fb87503ec30b796f2aeb2297aba"|"0x7fb8775313503aa0b02baa386071"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|92|504|89|248|489058|"TableScan Impl: ColumnVsValue p_brand = 'Brand#14'"
"77fca85fa20e8454"|"0x7fb8751a9310aa398105893a4839"|"0x7fb8751a92302ad57537d5477692"|"NULL"|"REFERENCE"|"part"|"p_size"|0|0|18|20|18|20|78005|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 5"
