QUERY_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_ROWS|OUTPUT_ROWS|RUNTIME_NS|DESCRIPTION
"4de6029635fed157"|"REFERENCE"|"customer"|"c_phone"|680672|190833|150963713|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('10', '34', '33', '14', '22', '18', '20')"
"4de6029635fed157"|"REFERENCE"|"customer"|"c_acctbal"|1500000|680672|282989251|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f6432e70fd0)"
"eddfe86e9c0c6462"|"REFERENCE"|"customer"|"c_phone"|680792|190810|149327106|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('13', '20', '33', '34', '18', '10', '22')"
"eddfe86e9c0c6462"|"REFERENCE"|"customer"|"c_acctbal"|1500000|680792|282469772|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f6432e6f950)"
"df8208d52a5dee04"|"REFERENCE"|"customer"|"c_phone"|681030|190684|148784923|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('32', '14', '18', '12', '17', '19', '23')"
"df8208d52a5dee04"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681030|282956481|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f6403ddd210)"
"f15dbd3897db2ac9"|"REFERENCE"|"customer"|"c_phone"|681366|190907|148785912|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('31', '29', '25', '26', '12', '32', '17')"
"f15dbd3897db2ac9"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681366|281756606|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f6400d83b50)"
"5f00b04c55d05121"|"REFERENCE"|"customer"|"c_phone"|681145|190690|149870865|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('18', '29', '23', '21', '32', '24', '26')"
"5f00b04c55d05121"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681145|283039558|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f4b16c90)"
"666884368fa8a15a"|"REFERENCE"|"customer"|"c_phone"|681219|190606|149476742|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('25', '23', '14', '31', '27', '28', '20')"
"666884368fa8a15a"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681219|283412497|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f19cfad0)"
"c3e4088124c0c150"|"REFERENCE"|"customer"|"c_phone"|681669|190626|149588516|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('13', '17', '16', '24', '11', '26', '34')"
"c3e4088124c0c150"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681669|281882204|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f19ce450)"
"cd53ca7f33affd2a"|"REFERENCE"|"customer"|"c_phone"|681550|190772|151885171|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('26', '21', '27', '17', '29', '25', '31')"
"cd53ca7f33affd2a"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681550|282173007|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f19cd550)"
"3ab31d33d12fb5c8"|"REFERENCE"|"customer"|"c_phone"|681225|190579|150931973|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('26', '10', '29', '27', '15', '30', '11')"
"3ab31d33d12fb5c8"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681225|282080812|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f19cca10)"
"cee2afa0d7b93d49"|"REFERENCE"|"customer"|"c_phone"|681353|190639|150481616|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('19', '30', '33', '26', '27', '13', '12')"
"cee2afa0d7b93d49"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681353|283172798|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f179cd10)"
"e3dedde2e828b42a"|"REFERENCE"|"customer"|"c_phone"|681396|190790|148937820|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('34', '12', '10', '23', '16', '14', '28')"
"e3dedde2e828b42a"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681396|281591521|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f19d0d90)"
"e12c1af633e9f352"|"REFERENCE"|"customer"|"c_phone"|680522|190919|149461923|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('22', '15', '26', '34', '11', '25', '33')"
"e12c1af633e9f352"|"REFERENCE"|"customer"|"c_acctbal"|1500000|680522|282352854|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63f179c590)"
"e101d79599426e66"|"REFERENCE"|"customer"|"c_phone"|680852|191176|149791483|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('30', '26', '16', '31', '15', '13', '18')"
"e101d79599426e66"|"REFERENCE"|"customer"|"c_acctbal"|1500000|680852|281816584|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63eb842d50)"
"8817cff0b5579aa8"|"REFERENCE"|"customer"|"c_phone"|681024|190882|149604422|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('25', '19', '15', '13', '11', '34', '16')"
"8817cff0b5579aa8"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681024|282604585|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63eb702610)"
"d60646689b6c3f94"|"REFERENCE"|"customer"|"c_phone"|681181|190817|149723391|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('19', '30', '27', '15', '32', '13', '31')"
"d60646689b6c3f94"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681181|282594139|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63eb6a8890)"
"bbd39c9b0202602c"|"REFERENCE"|"customer"|"c_phone"|681513|190914|149776863|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('13', '18', '21', '16', '25', '33', '22')"
"bbd39c9b0202602c"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681513|282818736|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63eb6a6e50)"
"f21d99ed0b37b88"|"REFERENCE"|"customer"|"c_phone"|681525|190348|149645466|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('28', '10', '23', '24', '19', '22', '25')"
"f21d99ed0b37b88"|"REFERENCE"|"customer"|"c_acctbal"|1500000|681525|282288276|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7f63eb6a66d0)"
